Category,Settings Key,Description,Permission,Data Type,Alias
Data Logger,log_stop_event,"Enum for the logging stop event.
0- Button
1- Accel Event Threshold
2- Command Only
3- Duration
4- Capture Count
5- Period Count

Pass in any combination as a comma separated list.",R/W,String,
Data Logger,log_stop_motion_threshold,"Threshold value used for the Accel Event Threshold stop event. Logging stops when the change in acceleration magnitude within a 0.1 second window is continously beneath this value for the time specified by log_stop_motion_delay.

In general, larger values will stop more easily while experiencing larger motion, and smaller values will require the sensor to be more motionless to stop.",R/W,Float,
Data Logger,log_stop_motion_delay,Time in seconds the change in acceleration magnitude within a 0.1 second window needs to be below the motion threshold for the stop event to trigger.,R/W,Float,
Data Logger,log_stop_count,Value used for the Capture Count stop event. Logging stops when this number of samples have been gathered.,R/W,U64,
Data Logger,log_stop_duration,"Value used for the Duration stop event. Logging stops when this duration, in seconds, has elapsed.",R/W,Float,
Data Logger,log_stop_period_count,Value used for the Period Count stop event. Logging stops when this number of periods have been logged.,R/W,U32,
Data Logger,log_style,"Enum for determining the method of data logging.
0: Continous - Single logging period for each capture session.
1: Periodic - Multiple logging periods for a capture session. ",R/W,U8,
Data Logger,log_periodic_capture_time,Amount of time each period will log while in periodic mode.,R/W,Float,
Data Logger,log_periodic_rest_time,Time to wait between each capture period.,R/W,Float,
Data Logger,log_base_filename,"Base filename used for each data file. The final filename will be ""{log_base_filename}{N}.[csv|bin]"" where N is an incrementing file count and csv or bin is based on log_data_mode. N starts at 0 during a session for all logging modes, and will increase for each additional file when log_file_mode is set to ""New"" instead of ""Append"".",R/W,String,
Data Logger,log_file_mode,"Enum for how new data is logged during logging sessions in periodic mode.
0: Append - Append data from subsequent perioids to a single capture session file.
1: New - Create a new log file for every period during the logging session.",R/W,U8,
Data Logger,log_data_mode,"Enum for determining ascii or binary logging.
1: Ascii 
2: Binary",R/W,U8,
Data Logger,log_output_settings,If set to 1 a setting file will be created at the start of a capture session to capture the settings used during that capture session.,R/W,U8,
Data Logger,log_header_enabled,"If set to 1, the response header will be included in the log results.",R/W,U8,
Data Logger,log_folder_mode,"0: Session - Name folders based on an auto incrementing session index.
1: Date Time - Name folders based on current date time read from RTC.",R/W,U8,
Data Logger,log_immediate_output,"If set to 1, the data being logged will be streamed out at the same time using the file streaming protocol.",R/W,U8,
Data Logger,log_immediate_output_header_enabled,"If set to 1, the header will be prepended to each file stream packet while log_immediate_output is enabled.",R/W,U8,
Data Logger,log_immediate_output_header_mode,"Controls what protocol mode the immediate_output_header uses.
0: Match - uses the mode specified by the log_data_mode setting
1: Ascii
2: Binary",R/W,U8,
Date Time,rtc_year,The current year of the RTC,R/W,U16,rtc_datetime
Date Time,rtc_month,The current month of the RTC (1-12),"R/W
",U8,"rtc_datetime
"
Date Time,rtc_day,The current day of the RTC (1-31),R/W,U8,rtc_datetime
Date Time,rtc_hour,The current hour of the RTC (0-23),"R/W
",U8,rtc_datetime
Date Time,rtc_minute,The current minute of the RTC (0-59),R/W,U8,rtc_datetime
Date Time,rtc_second,The current second of the RTC (0-59),R/W,U8,rtc_datetime
Date Time,rtc_datetime,Allows retrieving and setting all the current RTC values.,R/W,U16 U8 U8 U8 U8 U8,"rtc_year,
rtc_month,
rtc_day,
rtc_hour,
rtc_minute,
rtc_second
"
Date Time,rtc_source,"Sets the method the date time is retrieved from.

0 - Auto (RTC is available, otherwise System time)
1 - Manual (Static set value by user)
2 - System Time (Increments via system time, must be provided an initial value on startup to be accurate)
3 - RTC (On board RTC component. Only available if supported by sensor)",R/W,U8,
Date Time,utc_offset,"Timezone offset in hours in the range of -12 to +14

Changing the offset will modify the current reported time accordingly. Ensure offset is set before providing a time in that timezone for accuracy.",R/W,Float,
Battery,bat_chg_rate,"Typical charge rate in mA. Note that the set charge rate may differ from the actual charge rate to some degree. If different, a debug message will be generated when this is set.",R/W,U16,
Battery,bat_cold_threshold,The charge rate as a percentage of typical (0.0-1.0) and the temperature it occurs at in degrees celsius.,R/W,Float Float,
Battery,bat_warm_threshold,The charge rate as a percentage of typical (0.0-1.0) and the temperature it occurs at in degrees celsius.,"R/W
",Float Float,
Battery,bat_hot_threshold,"The charge rate as a percentage of typical (0.0-1.0) and the temperature it occurs at in degrees celsius.
","R/W
",Float Float,
Battery,bat_offset_threshold,"When going from hot to warm or warm to normal battery states, the temperature must fall this far below the threshold for the state change to occur. This is to prevent situations where the sensor flickers between states due to the sensor heating up while charging and then cooling when charging is shut off repeatedly, causing the temperature to border a threshold.",R/W,Float,
